iter	Passed	Remaining
0	61	61544
1	61	30872
2	62	20647
3	62	15531
4	62	12456
5	62	10406
6	63	8943
7	63	7844
8	63	6990
9	63	6307
10	63	5752
11	64	5294
12	64	4901
13	64	4563
14	65	4273
15	65	4015
16	65	3789
17	65	3587
18	66	3407
19	66	3244
20	66	3098
21	66	2963
22	66	2845
23	67	2734
24	67	2631
25	67	2536
26	67	2448
27	68	2365
28	68	2288
29	68	2217
30	68	2151
31	69	2088
32	69	2029
33	69	1974
34	69	1922
35	69	1872
36	70	1826
37	70	1781
38	70	1739
39	70	1699
40	71	1661
41	71	1625
42	71	1590
43	71	1557
44	71	1525
45	72	1495
46	72	1467
47	72	1439
48	72	1413
49	73	1387
50	73	1363
51	73	1339
52	73	1317
53	73	1295
54	74	1274
55	74	1253
56	74	1234
57	74	1215
58	75	1196
59	75	1178
60	75	1162
61	75	1145
62	75	1129
63	76	1113
64	76	1098
65	76	1083
66	76	1069
67	76	1053
68	77	1040
69	77	1027
70	77	1014
71	77	1002
72	78	990
73	78	979
74	78	967
75	78	956
76	78	945
77	79	935
78	79	924
79	79	914
80	79	904
81	79	895
82	80	885
83	80	876
84	80	866
85	80	857
86	80	848
87	81	840
88	81	832
89	81	824
90	81	816
91	81	808
92	82	801
93	82	794
94	82	787
95	82	780
96	83	774
97	83	767
98	83	761
99	83	754
100	84	747
101	84	740
102	84	734
103	84	728
104	84	722
105	85	717
106	85	711
107	85	705
108	85	700
109	85	694
110	86	689
111	86	684
112	86	679
113	86	674
114	87	669
115	87	664
116	87	659
117	87	654
118	87	649
119	87	645
120	88	640
121	88	636
122	88	630
123	88	626
124	88	622
125	89	617
126	89	613
127	89	608
128	89	604
129	89	600
130	90	597
131	90	593
132	90	589
133	90	585
134	90	582
135	91	578
136	91	575
137	91	571
138	91	567
139	91	564
140	92	560
141	92	557
142	92	554
143	92	551
144	92	548
145	93	545
146	93	541
147	93	538
148	93	535
149	94	532
150	94	529
151	94	527
152	94	524
153	94	521
154	95	519
155	95	516
156	95	513
157	95	511
158	96	508
159	96	505
160	96	503
161	96	500
162	97	498
163	97	495
164	97	493
165	97	490
166	97	488
167	98	485
168	98	483
169	98	480
170	98	478
171	98	476
172	99	474
173	99	471
174	99	469
175	99	467
176	100	465
177	100	462
178	100	460
179	100	458
180	100	455
181	100	453
182	101	451
183	101	449
184	101	447
185	101	445
186	102	443
187	102	441
188	102	439
189	102	437
190	102	435
191	103	434
192	103	432
193	103	430
194	103	428
195	103	426
196	104	424
197	104	423
198	104	421
199	104	419
200	105	417
201	105	416
202	105	414
203	105	412
204	105	410
205	106	409
206	106	407
207	106	405
208	106	404
209	107	402
210	107	400
211	107	399
212	107	397
213	107	396
214	108	394
215	108	393
216	108	392
217	108	390
218	109	389
219	109	387
220	109	385
221	109	384
222	109	382
223	110	381
224	110	379
225	110	378
226	110	377
227	110	375
228	111	374
229	111	372
230	111	371
231	111	370
232	112	368
233	112	367
234	112	366
235	112	364
236	112	363
237	113	362
238	113	360
239	113	359
240	113	358
241	113	356
242	114	355
243	114	354
244	114	353
245	114	351
246	114	350
247	115	349
248	115	348
249	115	346
250	115	345
251	116	344
252	116	343
253	116	342
254	116	341
255	116	339
256	117	338
257	117	337
258	117	336
259	117	335
260	118	334
261	118	333
262	118	331
263	118	330
264	118	329
265	119	328
266	119	327
267	119	326
268	119	325
269	119	324
270	120	323
271	120	322
272	120	321
273	120	320
274	121	319
275	121	318
276	121	317
277	121	316
278	121	315
279	122	314
280	122	313
281	122	312
282	122	311
283	123	310
284	123	309
285	123	308
286	123	307
287	124	306
288	124	306
289	124	305
290	124	304
291	125	303
292	125	302
293	125	301
294	125	300
295	125	299
296	126	298
297	126	297
298	126	296
299	126	295
300	127	294
301	127	294
302	127	293
303	127	292
304	127	291
305	128	290
306	128	289
307	128	288
308	128	287
309	128	287
310	129	286
311	129	285
312	129	284
313	129	283
314	130	282
315	130	281
316	130	281
317	130	280
318	130	279
319	131	279
320	131	278
321	131	277
322	131	276
323	132	275
324	132	274
325	132	274
326	132	273
327	133	272
328	133	271
329	133	270
330	133	270
331	133	269
332	134	268
333	134	267
334	134	266
335	134	266
336	134	265
337	135	264
338	135	263
339	135	263
340	135	262
341	136	261
342	136	261
343	136	260
344	136	259
345	136	258
346	137	258
347	137	257
348	137	256
349	137	255
350	137	255
351	138	254
352	138	253
353	138	252
354	138	252
355	139	251
356	139	250
357	139	250
358	139	249
359	139	248
360	140	247
361	140	247
362	140	246
363	140	245
364	140	245
365	141	244
366	141	243
367	141	243
368	141	242
369	141	241
370	142	241
371	142	240
372	142	239
373	142	239
374	143	238
375	143	237
376	143	237
377	143	236
378	143	235
379	144	235
380	144	234
381	144	233
382	144	233
383	144	232
384	145	231
385	145	231
