iter	Passed	Remaining
0	57	57163
1	57	28682
2	57	19187
3	57	14441
4	58	11588
5	58	9687
6	58	8334
7	59	7321
8	59	6529
9	59	5893
10	59	5373
11	60	4940
12	60	4581
13	60	4266
14	60	3995
15	61	3755
16	61	3546
17	61	3359
18	61	3192
19	62	3040
20	62	2914
21	62	2791
22	63	2677
23	63	2573
24	63	2477
25	63	2388
26	64	2307
27	64	2234
28	64	2162
29	64	2096
30	65	2034
31	65	1975
32	65	1921
33	65	1869
34	66	1819
35	66	1773
36	66	1730
37	66	1688
38	66	1648
39	67	1611
40	67	1575
41	67	1541
42	67	1509
43	68	1478
44	68	1448
45	68	1421
46	68	1395
47	69	1368
48	69	1344
49	69	1320
50	69	1297
51	69	1275
52	70	1253
53	70	1233
54	70	1214
55	70	1194
56	71	1175
57	71	1157
58	71	1140
59	71	1122
60	71	1107
61	72	1091
62	72	1075
63	72	1060
64	72	1046
65	72	1032
66	73	1019
67	73	1006
68	73	993
69	73	980
70	74	968
71	74	956
72	74	945
73	74	934
74	74	923
75	75	913
76	75	903
77	75	895
78	75	885
79	76	876
80	76	867
81	76	858
82	76	847
83	76	839
84	77	830
85	77	822
86	77	814
87	77	806
88	78	799
89	78	791
90	78	784
91	78	776
92	78	769
93	79	763
94	79	756
95	79	749
96	79	743
97	80	736
98	80	730
99	80	724
100	80	718
101	80	712
102	81	706
103	81	700
104	81	695
105	81	689
106	81	684
107	82	678
108	82	673
109	82	668
110	82	663
111	83	658
112	83	654
113	83	649
114	83	644
115	84	640
116	84	635
117	84	630
118	84	626
119	84	621
120	85	617
121	85	613
122	85	609
123	85	605
124	85	601
125	86	597
126	86	592
127	86	588
128	86	585
129	86	581
130	87	577
131	87	574
132	87	570
133	87	567
134	87	563
135	88	560
136	88	557
137	88	553
138	88	550
139	89	547
140	89	544
141	89	540
142	89	537
143	89	534
144	90	531
145	90	528
146	90	525
147	90	522
148	90	519
149	91	516
150	91	513
151	91	511
152	91	508
153	92	505
154	92	503
155	92	500
156	92	498
157	93	495
158	93	493
159	93	490
160	93	487
161	93	485
162	94	482
163	94	480
164	94	477
165	94	475
166	94	473
167	95	470
168	95	468
169	95	466
170	95	464
171	96	462
172	96	460
173	96	457
174	96	455
175	96	453
176	97	451
177	97	449
178	97	447
179	97	445
180	97	443
181	98	441
182	98	439
183	98	437
184	98	435
185	99	433
186	99	431
187	99	429
188	99	427
189	99	426
190	100	424
191	100	422
192	100	420
193	100	419
194	101	417
195	101	415
196	101	413
197	101	412
198	101	410
199	102	408
200	102	407
201	102	405
202	102	403
203	103	402
204	103	400
205	103	398
206	103	397
207	103	395
208	104	394
209	104	392
210	104	390
211	104	389
212	104	387
213	105	386
214	105	384
215	105	383
216	105	381
217	106	380
218	106	379
219	106	377
220	106	376
221	107	375
222	107	373
223	107	372
224	107	370
225	107	369
226	108	368
227	108	366
228	108	365
229	108	363
230	108	362
231	109	361
232	109	359
233	109	358
234	109	357
235	109	355
236	110	354
237	110	353
238	110	352
239	110	350
240	110	349
241	111	348
242	111	347
243	111	345
244	111	344
245	112	343
246	112	342
247	112	341
248	112	339
249	112	338
250	113	337
251	113	336
252	113	335
253	113	334
254	113	332
255	114	331
256	114	331
257	114	329
258	114	328
259	115	327
260	115	326
261	115	325
262	115	324
263	116	323
264	116	322
265	116	321
266	116	320
267	116	319
268	117	318
269	117	317
270	117	316
271	117	315
272	118	314
273	118	313
274	118	312
275	118	311
276	118	310
277	119	309
278	119	308
279	119	307
280	119	306
281	120	305
282	120	304
283	120	303
284	120	302
285	120	301
286	121	301
287	121	300
288	121	299
289	121	298
290	122	297
291	122	296
292	122	295
293	122	294
294	122	293
295	123	292
296	123	292
297	123	291
298	123	290
299	124	289
300	124	288
301	124	287
302	124	286
303	124	286
304	125	285
305	125	284
306	125	283
307	125	282
308	125	281
309	126	280
310	126	279
311	126	279
312	126	278
313	126	277
314	127	276
315	127	275
316	127	274
317	127	274
318	128	273
319	128	272
320	128	271
321	128	270
322	128	270
323	129	269
324	129	268
325	129	267
326	129	266
327	129	266
328	130	265
329	130	264
330	130	264
331	130	263
332	131	262
333	131	261
334	131	261
335	132	262
336	132	261
337	133	260
338	133	260
339	133	259
340	133	258
341	133	257
342	134	256
343	134	256
344	134	255
345	134	254
346	134	254
347	135	253
348	135	252
349	135	252
350	135	251
351	136	250
352	136	249
353	136	249
354	136	248
355	137	247
356	137	247
357	137	246
358	137	245
359	137	245
360	138	244
361	138	244
362	138	243
363	138	242
364	139	242
365	139	241
366	139	240
367	139	240
368	140	239
369	140	238
370	140	238
371	140	237
372	141	237
373	141	237
374	142	236
375	142	236
376	142	235
377	142	235
378	143	234
379	143	233
380	143	233
381	143	232
382	143	231
383	144	231
384	144	230
385	144	229
386	144	229
387	144	228
388	145	227
389	145	227
390	145	226
391	145	226
392	146	225
393	146	224
394	146	224
395	146	223
396	146	223
397	147	222
398	147	221
399	147	221
400	147	220
401	148	220
402	148	219
403	148	218
404	148	218
405	148	217
406	149	217
407	149	216
408	149	215
409	149	215
410	149	214
411	150	214
412	150	213
413	150	213
414	150	212
415	151	212
416	151	211
417	151	211
418	151	210
419	151	209
420	152	209
421	152	208
422	152	208
423	152	207
424	153	207
425	153	206
426	153	205
427	153	205
428	153	204
429	154	204
430	154	203
431	154	203
432	154	202
433	155	202
434	155	201
435	155	201
436	155	200
437	155	200
438	156	199
439	156	198
440	156	198
441	156	197
442	156	197
443	157	196
444	157	196
445	157	195
446	157	195
447	158	194
448	158	194
449	158	193
450	158	193
451	159	192
452	159	192
453	159	191
454	159	191
455	159	190
456	160	190
457	160	189
458	160	189
459	160	188
460	161	188
461	161	187
462	161	187
463	161	186
464	162	186
465	162	185
466	162	185
467	162	184
468	162	184
469	163	183
470	163	183
471	163	182
472	163	182
473	163	181
474	164	181
475	164	180
476	164	180
477	164	179
478	164	179
479	165	178
480	165	178
481	165	177
482	165	177
483	166	177
484	166	176
485	166	176
486	166	175
487	166	175
488	167	174
489	167	174
490	167	173
491	167	173
492	167	172
493	168	172
494	168	171
495	168	171
496	168	170
497	169	170
498	169	170
499	169	169
500	169	169
501	170	168
502	170	168
503	170	167
504	170	167
505	170	166
506	171	166
507	171	165
508	171	165
509	171	165
510	171	164
511	172	164
512	172	163
513	172	163
514	172	162
515	173	162
516	173	161
517	173	161
518	173	160
519	173	160
520	174	160
521	174	159
522	174	159
523	174	158
524	174	158
525	175	157
526	175	157
527	175	156
528	175	156
529	176	156
530	176	155
531	176	155
532	176	154
533	176	154
534	177	153
535	177	153
536	177	153
537	177	152
538	177	152
539	178	151
540	178	151
541	178	150
542	178	150
543	179	150
544	179	149
545	179	149
546	179	148
547	179	148
548	180	148
549	180	147
550	180	147
551	180	146
552	181	146
553	181	145
554	181	145
555	181	145
556	182	144
557	182	144
558	182	143
559	182	143
560	182	143
561	183	142
562	183	142
563	183	141
564	183	141
565	183	141
566	184	140
567	184	140
568	184	139
569	184	139
570	185	139
571	185	138
572	185	138
573	185	137
574	185	137
575	186	137
576	186	136
577	186	136
578	186	135
579	187	135
580	187	135
581	187	134
582	187	134
583	187	133
584	188	133
585	188	133
586	188	132
587	188	132
588	189	131
589	189	131
590	189	131
591	189	130
592	189	130
593	190	129
594	190	129
595	190	129
596	190	128
597	191	128
598	191	128
599	191	127
600	191	127
601	191	126
602	192	126
603	192	126
604	192	125
605	192	125
606	193	124
607	193	124
608	193	124
609	193	123
610	193	123
611	194	123
612	194	122
613	194	122
614	194	121
615	194	121
616	195	121
617	195	120
618	195	120
619	195	119
620	195	119
621	196	119
622	196	118
623	196	118
624	196	117
625	196	117
626	196	117
627	197	116
628	197	116
629	197	116
630	197	115
631	197	115
632	198	114
633	198	114
634	198	114
635	198	113
636	198	113
637	198	112
638	199	112
639	199	112
640	199	111
641	199	111
642	199	110
643	199	110
644	200	110
645	200	109
646	200	109
647	200	109
648	200	108
649	201	108
650	202	108
651	203	108
652	203	108
653	204	107
654	204	107
655	204	107
656	205	107
657	205	106
658	205	106
659	205	106
660	206	105
661	206	105
662	206	104
663	206	104
664	207	104
665	207	103
666	207	103
667	207	103
668	207	102
669	208	102
670	208	102
671	208	101
672	209	101
673	209	101
674	209	100
675	209	100
676	209	100
677	210	99
678	210	99
679	210	99
680	210	98
681	211	98
682	211	98
683	211	97
684	211	97
685	212	97
686	212	96
687	212	96
688	212	96
689	213	95
690	213	95
691	213	95
692	213	94
693	213	94
694	214	93
695	214	93
696	214	93
697	214	93
698	215	92
699	215	92
700	215	91
701	215	91
702	216	91
703	216	90
704	216	90
705	216	90
706	216	89
707	217	89
708	217	89
709	217	88
710	217	88
711	218	88
712	218	87
713	218	87
714	218	87
715	219	86
716	219	86
717	219	86
718	219	85
719	220	85
720	220	85
721	220	84
722	220	84
723	220	84
724	221	83
725	221	83
726	221	83
727	221	82
728	222	82
729	222	82
730	222	81
731	222	81
732	223	81
733	223	80
734	223	80
735	223	80
736	223	79
737	224	79
738	224	79
739	224	78
740	224	78
741	224	78
742	225	77
743	225	77
744	225	77
745	225	76
746	226	76
747	226	76
748	226	75
749	226	75
750	227	75
751	227	74
752	227	74
753	227	74
754	227	73
755	228	73
756	228	73
757	228	72
758	228	72
759	228	72
760	228	71
761	229	71
762	229	71
763	229	70
764	230	70
765	230	70
766	230	70
767	230	69
768	231	69
769	231	69
770	231	68
771	231	68
772	231	68
773	232	67
774	232	67
775	232	67
776	232	66
777	233	66
778	233	66
779	233	65
780	233	65
781	233	65
782	234	64
783	234	64
784	234	64
785	234	63
786	235	63
787	235	63
788	235	62
789	235	62
790	235	62
791	236	62
792	236	61
793	236	61
794	236	61
795	237	60
796	237	60
797	237	60
798	237	59
799	238	59
800	238	59
801	238	58
802	238	58
803	239	58
804	239	57
805	239	57
806	239	57
807	239	57
808	240	56
809	240	56
810	240	56
811	240	55
812	241	55
813	241	55
814	241	54
815	241	54
816	242	54
817	242	53
818	242	53
819	242	53
820	242	52
821	243	52
822	243	52
823	243	52
824	243	51
825	244	51
826	244	51
827	244	50
828	244	50
829	244	50
830	245	49
831	245	49
832	245	49
833	245	48
834	246	48
835	246	48
836	246	48
837	246	47
838	246	47
839	247	47
840	247	46
841	247	46
842	247	46
843	248	45
844	248	45
845	248	45
846	248	44
847	249	44
848	249	44
849	249	44
850	249	43
851	249	43
852	250	43
853	250	42
854	250	42
855	250	42
856	250	41
857	251	41
858	251	41
859	251	40
860	251	40
861	252	40
862	252	40
863	252	39
864	252	39
865	252	39
866	253	38
867	253	38
868	253	38
869	253	37
870	254	37
871	254	37
872	254	37
873	254	36
874	254	36
875	255	36
876	255	35
877	255	35
878	255	35
879	256	34
880	256	34
881	256	34
882	256	34
883	256	33
884	257	33
885	257	33
886	257	32
887	257	32
888	258	32
889	258	31
890	258	31
891	258	31
892	258	31
893	259	30
894	259	30
895	259	30
896	259	29
897	260	29
898	260	29
899	260	28
900	260	28
901	261	28
902	261	28
903	261	27
904	261	27
905	261	27
906	262	26
907	262	26
908	262	26
909	262	25
910	263	25
911	263	25
912	263	25
913	263	24
914	263	24
915	264	24
916	264	23
917	264	23
918	264	23
919	264	23
920	265	22
921	265	22
922	265	22
923	265	21
924	266	21
925	266	21
926	266	20
927	266	20
928	267	20
929	267	20
930	267	19
931	267	19
932	267	19
933	268	18
934	268	18
935	268	18
936	268	18
937	269	17
938	269	17
939	269	17
940	270	16
941	270	16
942	270	16
943	270	16
944	270	15
945	271	15
946	271	15
947	271	14
948	271	14
949	272	14
950	272	14
951	272	13
952	272	13
953	273	13
954	273	12
955	273	12
956	273	12
957	273	12
958	274	11
959	274	11
960	274	11
961	274	10
962	274	10
963	275	10
964	275	9
965	275	9
966	275	9
967	275	9
968	276	8
969	276	8
970	276	8
971	276	7
972	277	7
973	277	7
974	277	7
975	277	6
976	277	6
977	278	6
978	278	5
979	278	5
980	278	5
981	278	5
982	279	4
983	279	4
984	279	4
985	279	3
986	279	3
987	280	3
988	280	3
989	280	2
990	280	2
991	281	2
992	281	1
993	281	1
994	281	1
995	281	1
996	282	0
997	282	0
998	282	0
999	282	0
